
Mês	Dia	Hora	Temperatura {C}	Umidade {kg/kg}	Densidade do ar {kg/m3}	Velocidade do Vento {m/s}	Direção do Vento {graus}
2	1	1	23	    0.01774832	1.158	0	0
2	1	2	22.8	0.017462113	1.157	4	270
2	1	3	22.5	0.017010563	1.158	2	320
2	1	4	22.5	0.017028079	1.157	3	360
2	1	5	22.3	0.016982501	1.159	1	20
2	1	6	22.2	0.016876391	1.16	3	270
2	1	7	21.6	0.016084166	1.162	2	300
2	1	8	21.5	0.015772395	1.161	2	310
2	1	9	23.1	0.017473765	1.152	2	360
2	1	10	22.7	0.016529233	1.15	2	290
2	1	11	23.5	0.017712777	1.148	6	220
2	1	12	24.7	0.018912442	1.139	3	220
2	1	13	26.5	0.021213643	1.128	6	150
2	1	14	25.9	0.020824813	1.133	5	100
2	1	15	25.4	0.020055475	1.135	2	350
2	1	16	23.3	0.017945339	1.15	3	130
2	1	17	24.4	0.018759564	1.14	2	120
2	1	18	24.5	0.018434954	1.135	0	0
2	1	19	23.5	0.017961103	1.147	0	0
2	1	20	23.3	0.017842442	1.15	0	0
2	1	21	23	    0.017591714	1.153	4	270
2	1	22	23	    0.017820767	1.153	2	70
2	1	23	22.8	0.017479974	1.156	2	230
2	1	24	22.3	0.016814149	1.158	2	310
2	2	1	22	    0.016497754	1.16	0	0
2	2	2	21.9	0.016410366	1.159	1	300
2	2	3	22	    0.016615882	1.158	0	0
2	2	4	22	    0.01665794	1.158	2	280
2	2	5	22  	0.01665794	1.158	2	270
2	2	6	21.9	0.016511363	1.158	1	110
2	2	7	21.5	0.016040671	1.162	2	240
2	2	8	21.5	0.016015179	1.16	2	290
2	2	9	22.8	0.016655997	1.148	2	280
2	2	10	22	    0.015030139	1.149	0	0
2	2	11	26  	0.020042067	1.128	1	150
2	2	12	26.6	0.020923285	1.125	4	100
2	2	13	26  	0.020551098	1.131	0	0
2	2	14	26.1	0.020661715	1.129	3	120
2	2	15	26.6	0.021158499	1.125	5	150
2	2	16	26.5	0.021046342	1.124	5	170
2	2	17	26.4	0.020912141	1.125	4	160
2	2	18	25.6	0.020289051	1.133	3	150
2	2	19	24	    0.018262825	1.141	2	180
2	2	20	23.7	0.017979335	1.144	0	0
2	2	21	23.7	0.018129153	1.147	0	0
2	2	22	23.5	0.018026757	1.149	1	70
2	2	23	23.2	0.017350821	1.148	0	0
2	2	24	23	0.017507404	1.152	2	270
2	3	1	23	0.017507404	1.152	0	0
2	3	2	23	0.017591714	1.153	3	270
2	3	3	22.5	0.016979028	1.154	0	0
2	3	4	22.5	0.016852787	1.153	2	330
2	3	5	22.5	0.01706322	1.154	2	280
2	3	6	22	0.016742075	1.159	0	0
2	3	7	22	0.016742075	1.159	0	0
2	3	8	23	0.01727277	1.149	0	0
2	3	9	23.5	0.017731475	1.146	0	0
2	3	10	23.8	0.017635043	1.143	0	0
2	3	11	25.7	0.019505371	1.13	2	180
2	3	12	26	0.020020223	1.129	2	180
2	3	13	26.7	0.021186131	1.125	4	110
2	3	14	27	0.021596826	1.123	3	120
2	3	15	27	0.021662708	1.122	4	130
2	3	16	25.9	0.020654859	1.132	2	150
2	3	17	25	0.019830816	1.141	2	200
2	3	18	24.1	0.018829152	1.147	1	250
2	3	19	23.5	0.018256612	1.149	2	80
2	3	20	22.7	0.017220096	1.154	3	290
2	3	21	22.5	0.016961443	1.155	3	250
2	3	22	22.6	0.017051743	1.155	2	360
2	3	23	22.8	0.017377819	1.156	2	360
2	3	24	22.5	0.016926379	1.157	4	290
2	4	1	22.5	0.017003534	1.155	4	290
2	4	2	22.3	0.016789404	1.156	3	10
2	4	3	22.1	0.016619731	1.158	0	0
2	4	4	21.7	0.016203359	1.16	2	210
2	4	5	21.5	0.015998685	1.161	2	290
2	4	6	20.9	0.015398425	1.165	0	0
2	4	7	20.7	0.015202846	1.166	2	290
2	4	8	20.8	0.014714321	1.161	2	280
2	4	9	21.5	0.014709164	1.154	0	0
2	4	10	22.6	0.015665842	1.145	2	310
2	4	11	22.5	0.014721956	1.14	0	0
2	4	12	23.3	0.015387675	1.134	4	110
2	4	13	25.5	0.01884898	1.127	3	150
2	4	14	25.4	0.018807037	1.128	4	150
2	4	15	25.4	0.018828093	1.127	4	120
2	4	16	26.5	0.020599039	1.123	5	140
2	4	17	25.6	0.019864998	1.13	4	140
2	4	18	25.2	0.019274052	1.132	3	140
2	4	19	24.5	0.018499405	1.136	2	150
2	4	20	25.1	0.019806013	1.138	0	0
