Data_Hora,Temperatura (°F)
4/1/2025 1h,70.88
4/1/2025 2h,70.70
4/1/2025 3h,71.06
4/1/2025 4h,71.60
4/1/2025 5h,71.60
4/1/2025 6h,71.42
4/1/2025 7h,70.70
4/1/2025 8h,70.34
4/1/2025 9h,71.42
4/1/2025 10h,72.50
4/1/2025 11h,74.30
4/1/2025 12h,74.84
4/1/2025 13h,75.20
4/1/2025 14h,75.38
4/1/2025 15h,76.10
4/1/2025 16h,76.10
4/1/2025 17h,75.20
4/1/2025 18h,73.40
4/1/2025 19h,73.40
4/1/2025 20h,69.80
4/1/2025 21h,69.80
4/1/2025 22h,69.80
4/1/2025 23h,68.90
4/1/2025 24h,71.60
4/2/2025 1h,71.60
4/2/2025 2h,71.60
4/2/2025 3h,70.70
4/2/2025 4h,70.70
4/2/2025 5h,70.70
4/2/2025 6h,69.80
4/2/2025 7h,69.80
4/2/2025 8h,71.06
4/2/2025 9h,71.78
4/2/2025 10h,74.30
4/2/2025 11h,74.30
4/2/2025 12h,75.20
4/2/2025 13h,76.28
4/2/2025 14h,75.20
4/2/2025 15h,75.20
4/2/2025 16h,76.10
4/2/2025 17h,77.00
4/2/2025 18h,74.48
4/2/2025 19h,74.30
4/2/2025 20h,72.50
4/2/2025 21h,71.60
4/2/2025 22h,69.08
4/2/2025 23h,68.90
4/2/2025 24h,71.24
4/3/2025 1h,71.24
4/3/2025 2h,71.60
4/3/2025 3h,71.60
4/3/2025 4h,71.60
4/3/2025 5h,71.60
4/3/2025 6h,71.06
4/3/2025 7h,69.80
4/3/2025 8h,69.98
4/3/2025 9h,70.70
4/3/2025 10h,70.34
4/3/2025 11h,70.70
4/3/2025 12h,71.60
4/3/2025 13h,71.96
4/3/2025 14h,71.96
4/3/2025 15h,71.60
4/3/2025 16h,71.60
4/3/2025 17h,71.24
4/3/2025 18h,71.06
4/3/2025 19h,70.70
4/3/2025 20h,70.70
4/3/2025 21h,70.70
4/3/2025 22h,70.70
4/3/2025 23h,70.70
4/3/2025 24h,70.70
4/4/2025 1h,70.70
4/4/2025 2h,70.34
4/4/2025 3h,69.98
4/4/2025 4h,69.80
4/4/2025 5h,69.80
4/4/2025 6h,69.98
4/4/2025 7h,70.16
4/4/2025 8h,70.88
4/4/2025 9h,71.60
4/4/2025 10h,72.50
4/4/2025 11h,74.12
4/4/2025 12h,74.48
4/4/2025 13h,75.20
4/4/2025 14h,75.56
4/4/2025 15h,74.84
4/4/2025 16h,75.20
4/4/2025 17h,75.20
4/4/2025 18h,73.40
4/4/2025 19h,71.60
4/4/2025 20h,71.60
4/4/2025 21h,71.96
4/4/2025 22h,71.06
4/4/2025 23h,70.34
4/4/2025 24h,68.90
4/5/2025 1h,69.80
4/5/2025 2h,68.36
4/5/2025 3h,68.36
4/5/2025 4h,69.98
4/5/2025 5h,69.80
4/5/2025 6h,69.80
4/5/2025 7h,69.80
4/5/2025 8h,68.90
4/5/2025 9h,70.88
4/5/2025 10h,71.60
4/5/2025 11h,73.76
4/5/2025 12h,72.50
4/5/2025 13h,72.50
4/5/2025 14h,74.30
4/5/2025 15h,75.20
4/5/2025 16h,73.40
4/5/2025 17h,73.40
4/5/2025 18h,73.40
4/5/2025 19h,72.50
4/5/2025 20h,70.70
4/5/2025 21h,69.80
4/5/2025 22h,68.90
4/5/2025 23h,69.98
4/5/2025 24h,68.00
4/6/2025 1h,68.18
4/6/2025 2h,70.34
4/6/2025 3h,68.90
4/6/2025 4h,68.00
4/6/2025 5h,67.10
4/6/2025 6h,67.10
4/6/2025 7h,67.10
4/6/2025 8h,65.30
4/6/2025 9h,68.36
4/6/2025 10h,69.80
4/6/2025 11h,70.70
4/6/2025 12h,71.78
4/6/2025 13h,70.16
4/6/2025 14h,70.70
4/6/2025 15h,73.40
4/6/2025 16h,73.40
4/6/2025 17h,70.70
4/6/2025 18h,70.70
4/6/2025 19h,69.80
4/6/2025 20h,69.80
4/6/2025 21h,66.20
4/6/2025 22h,65.30
4/6/2025 23h,64.40
4/6/2025 24h,64.40
4/7/2025 1h,64.04
4/7/2025 2h,63.50
4/7/2025 3h,62.60
4/7/2025 4h,64.40
4/7/2025 5h,64.40
4/7/2025 6h,64.04
4/7/2025 7h,64.76
4/7/2025 8h,65.30
4/7/2025 9h,68.00
4/7/2025 10h,69.08
4/7/2025 11h,70.70
4/7/2025 12h,73.22
4/7/2025 13h,71.60
4/7/2025 14h,72.50
4/7/2025 15h,71.60
4/7/2025 16h,72.50
4/7/2025 17h,72.86
4/7/2025 18h,71.60
4/7/2025 19h,72.50
4/7/2025 20h,68.90
4/7/2025 21h,67.64
4/7/2025 22h,67.28
4/7/2025 23h,66.20
4/7/2025 24h,65.30
4/8/2025 1h,64.94
4/8/2025 2h,64.76
4/8/2025 3h,64.58
4/8/2025 4h,64.58
4/8/2025 5h,64.58
4/8/2025 6h,64.40
4/8/2025 7h,64.40
4/8/2025 8h,64.40
4/8/2025 9h,67.82
4/8/2025 10h,69.80
4/8/2025 11h,71.60
4/8/2025 12h,73.40
4/8/2025 13h,72.14
4/8/2025 14h,73.58
4/8/2025 15h,73.94
4/8/2025 16h,74.30
4/8/2025 17h,73.58
4/8/2025 18h,70.70
4/8/2025 19h,70.34
4/8/2025 20h,70.34
4/8/2025 21h,70.34
4/8/2025 22h,71.60
4/8/2025 23h,71.60
4/8/2025 24h,70.70
4/9/2025 1h,70.52
4/9/2025 2h,70.52
4/9/2025 3h,70.52
4/9/2025 4h,70.52
4/9/2025 5h,70.70
4/9/2025 6h,70.70
4/9/2025 7h,70.52
